product_id,product_name,category,subcategory,brand,price,cost,weight,dimensions,color,material,stock_quantity,reorder_level,supplier_id,launch_date,rating,is_discontinued
PROD_000079,Organized scalable functionalities,Beauty,Beauty_Sub_2,"Lewis, Garcia and Rogers",672.07,435.01,1.4,11x30x39,SandyBrown,Metal,303,82,SUPP_061,2024-10-04,3.4,True
PROD_000080,Compatible static parallelism,Clothing,Clothing_Sub_4,"Smith, Zimmerman and Gentry",105.22,72.85,43.04,48x37x10,SpringGreen,Plastic,403,75,SUPP_084,2022-10-29,1.8,False
PROD_000081,Open-architected systemic matrices,Electronics,Electronics_Sub_2,Chavez-Tucker,32.89,24.82,40.34,35x13x29,Gray,Plastic,482,98,SUPP_022,2022-12-01,4.1,False
PROD_000082,Reactive real-time challenge,Clothing,Clothing_Sub_3,"Reilly, Smith and Ellis",540.94,386.65,21.24,35x40x50,OliveDrab,Plastic,569,27,SUPP_050,2024-10-08,3.9,False
PROD_000083,Phased reciprocal moderator,Clothing,Clothing_Sub_2,Lloyd-White,979.42,713.5,48.95,30x17x42,CadetBlue,Wood,801,66,SUPP_051,2023-07-19,1.7,False
PROD_000084,Reactive incremental hub,Books,Books_Sub_5,Green-Thomas,991.58,632.88,31.68,29x49x23,Indigo,Wood,768,61,SUPP_027,2024-02-28,4.7,False
PROD_000085,Assimilated discrete core,Clothing,Clothing_Sub_4,Roberts-Goodwin,147.31,113.33,46.54,42x45x24,MediumSlateBlue,Plastic,220,60,SUPP_074,2025-03-02,2.0,True
PROD_000086,Innovative analyzing collaboration,Clothing,Clothing_Sub_1,Wright-Kirby,189.71,151.37,20.74,29x50x23,MediumOrchid,Fabric,471,21,SUPP_080,2024-03-08,2.6,False
PROD_000087,Stand-alone logistical framework,Electronics,Electronics_Sub_4,"Byrd, Ball and Wang",685.11,425.79,27.58,18x26x19,LightSalmon,Fabric,113,14,SUPP_014,2023-10-09,4.8,False
PROD_000088,Digitized holistic hardware,Toys,Toys_Sub_5,"Guerrero, Robinson and Thompson",37.26,22.96,20.13,50x20x41,DarkOliveGreen,Fabric,278,84,SUPP_005,2022-12-15,4.0,False
PROD_000089,Open-architected mission-critical migration,Home & Garden,Home & Garden_Sub_2,Wagner LLC,279.45,212.08,13.67,35x47x31,BlanchedAlmond,Glass,672,36,SUPP_088,2024-10-16,2.1,False
PROD_000090,Synchronized clear-thinking hub,Sports,Sports_Sub_1,Taylor-Cohen,827.27,532.18,27.32,49x21x10,Aqua,Leather,63,19,SUPP_056,2025-05-18,3.0,False
PROD_000091,Streamlined heuristic focus group,Clothing,Clothing_Sub_3,Wilson-Malone,909.62,560.88,4.65,30x5x23,AntiqueWhite,Fabric,670,100,SUPP_076,2024-10-22,3.7,False
PROD_000092,User-friendly upward-trending focus group,Electronics,Electronics_Sub_1,Thomas-Stephenson,849.94,578.67,32.84,15x7x14,LightPink,Fabric,575,63,SUPP_054,2024-09-13,4.7,False
PROD_000093,Decentralized encompassing service-desk,Electronics,Electronics_Sub_1,Morales and Sons,877.41,656.78,30.15,20x23x14,LightSalmon,Plastic,977,35,SUPP_034,2024-10-11,3.0,False
PROD_000094,Face-to-face methodical support,Toys,Toys_Sub_3,"Nichols, Rojas and Sims",557.98,397.89,44.42,8x18x25,Chartreuse,Metal,76,64,SUPP_008,2025-05-03,3.8,False
PROD_000095,Fully-configurable fault-tolerant workforce,Clothing,Clothing_Sub_4,Moore-Hart,838.96,519.97,46.41,11x18x39,YellowGreen,Glass,60,20,SUPP_042,2025-02-25,4.1,False
PROD_000096,Open-source systematic knowledge user,Clothing,Clothing_Sub_4,Sanders Inc,124.85,86.49,43.86,50x11x42,Moccasin,Leather,316,12,SUPP_018,2025-03-12,2.2,False
PROD_000097,Function-based web-enabled moratorium,Electronics,Electronics_Sub_2,Cervantes Ltd,970.94,705.29,26.09,46x10x23,PaleVioletRed,Plastic,122,26,SUPP_069,2024-05-01,2.8,False
PROD_000098,Cross-platform transitional Graphic Interface,Toys,Toys_Sub_2,Johnson-Willis,909.55,599.31,46.7,9x43x18,HoneyDew,Glass,487,75,SUPP_048,2025-06-10,3.0,False
PROD_000099,Optimized human-resource open architecture,Beauty,Beauty_Sub_2,"Rodgers, Jenkins and Hodge",609.14,411.65,12.02,10x7x45,PaleTurquoise,Glass,308,88,SUPP_015,2022-10-17,3.6,False
PROD_000100,Advanced uniform customer loyalty,Sports,Sports_Sub_2,Keith-May,257.01,165.4,7.67,27x23x8,PaleVioletRed,Plastic,727,40,SUPP_011,2024-07-18,4.7,False
PROD_000101,Persistent even-keeled migration,Electronics,Electronics_Sub_4,Brown-Arias,600.84,401.02,21.72,47x16x29,DarkKhaki,Plastic,416,80,SUPP_033,2022-10-24,4.3,False
PROD_000102,Profit-focused content-based moratorium,Toys,Toys_Sub_2,Reynolds Inc,760.08,578.99,24.89,24x9x5,YellowGreen,Metal,648,56,SUPP_037,2022-11-11,2.9,False
PROD_000103,Streamlined disintermediate help-desk,Automotive,Automotive_Sub_5,"Gross, Thornton and Robinson",547.38,390.85,35.27,22x38x38,Fuchsia,Wood,436,59,SUPP_078,2025-06-26,2.1,False
PROD_000104,Self-enabling needs-based open system,Home & Garden,Home & Garden_Sub_1,Kelly-Nunez,40.32,25.87,5.39,45x49x26,DarkRed,Glass,462,54,SUPP_085,2023-06-24,4.7,False
PROD_000105,Right-sized explicit database,Toys,Toys_Sub_5,Chase-Oliver,303.28,190.05,7.37,16x33x45,SaddleBrown,Leather,88,68,SUPP_020,2025-07-26,2.6,False
PROD_000106,Business-focused non-volatile leverage,Toys,Toys_Sub_4,Moses Group,373.29,272.79,13.02,5x35x6,Orchid,Leather,43,20,SUPP_038,2023-09-28,4.4,False
PROD_000107,Fundamental mobile collaboration,Sports,Sports_Sub_1,Fuller-Mitchell,840.44,622.0,0.35,29x37x46,RosyBrown,Glass,881,33,SUPP_034,2023-03-18,1.2,False
PROD_000108,Ameliorated static conglomeration,Automotive,Automotive_Sub_1,Bauer-Haynes,878.18,697.63,0.27,45x31x31,DeepSkyBlue,Fabric,613,17,SUPP_087,2024-01-31,2.1,False
PROD_000109,User-friendly object-oriented encoding,Clothing,Clothing_Sub_4,Orr-Williams,144.22,109.4,7.12,35x31x15,DarkGoldenRod,Metal,513,24,SUPP_016,2022-12-17,2.4,False
PROD_000110,Polarized tangible matrix,Books,Books_Sub_2,"Williamson, Reynolds and Pena",237.07,157.73,27.66,16x16x40,DarkBlue,Metal,290,11,SUPP_069,2025-02-22,2.1,False
PROD_000111,Progressive 4thgeneration capability,Books,Books_Sub_5,"Robles, Pineda and Dennis",200.68,150.56,50.0,42x43x24,Brown,Plastic,1,44,SUPP_012,2024-06-19,1.2,False
PROD_000112,Managed composite matrix,Sports,Sports_Sub_4,"Hudson, Mora and Newman",609.29,466.23,5.88,28x11x50,OliveDrab,Plastic,958,41,SUPP_045,2025-07-11,3.7,True
PROD_000113,Streamlined clear-thinking encryption,Toys,Toys_Sub_2,Greer LLC,325.5,195.8,39.01,33x14x15,DarkGoldenRod,Leather,543,85,SUPP_017,2022-09-06,4.7,False
PROD_000114,Ergonomic scalable middleware,Beauty,Beauty_Sub_3,Green-Romero,126.48,81.97,35.04,47x28x36,DarkGreen,Fabric,41,86,SUPP_098,2025-01-01,2.9,False
PROD_000115,Multi-tiered uniform algorithm,Books,Books_Sub_5,Foster LLC,27.02,19.53,3.73,24x11x44,Blue,Wood,931,52,SUPP_032,2022-12-23,2.2,True
PROD_000116,Up-sized local flexibility,Books,Books_Sub_5,"Lane, White and Russo",763.34,592.93,4.87,46x21x23,DeepPink,Glass,569,62,SUPP_059,2023-09-06,2.2,False
PROD_000117,Synergistic 24/7 solution,Books,Books_Sub_5,"Marsh, Phillips and Miller",46.05,30.8,4.34,37x48x40,DeepSkyBlue,Fabric,228,12,SUPP_050,2023-04-20,1.9,False
PROD_000118,Streamlined maximized adapter,Electronics,Electronics_Sub_2,Pratt-Hoover,470.01,349.57,29.3,12x47x14,DarkMagenta,Plastic,227,94,SUPP_080,2025-05-09,3.9,False
PROD_000119,Reactive impactful leverage,Sports,Sports_Sub_2,Murray-Rodriguez,823.8,623.49,20.18,41x5x25,Red,Wood,565,51,SUPP_045,2023-02-19,4.7,True
PROD_000120,User-centric motivating hierarchy,Sports,Sports_Sub_1,Obrien LLC,549.28,405.31,13.99,41x5x31,DarkGoldenRod,Fabric,987,65,SUPP_073,2024-01-18,3.6,False
PROD_000121,Re-contextualized 24hour array,Toys,Toys_Sub_2,Burgess-Barton,524.62,363.01,40.07,32x5x29,GreenYellow,Plastic,745,16,SUPP_050,2024-09-23,2.3,True
PROD_000122,Operative asymmetric extranet,Home & Garden,Home & Garden_Sub_4,Webb Ltd,758.58,488.93,18.63,7x10x30,Bisque,Wood,147,66,SUPP_054,2023-06-30,1.4,False
PROD_000123,Optional radical algorithm,Clothing,Clothing_Sub_3,Cruz-Cervantes,591.87,440.69,27.64,13x27x19,Bisque,Leather,20,75,SUPP_036,2023-08-25,1.8,False
PROD_000124,Digitized bottom-line policy,Books,Books_Sub_5,Powers-Carlson,850.39,541.56,14.86,24x34x36,Cyan,Metal,330,11,SUPP_069,2024-04-15,2.1,False
PROD_000125,Synchronized stable hardware,Books,Books_Sub_3,Burgess PLC,182.37,135.69,15.14,5x7x22,GreenYellow,Plastic,465,100,SUPP_017,2024-08-21,2.2,True
PROD_000126,Team-oriented mission-critical data-warehouse,Toys,Toys_Sub_2,Bautista-Williams,942.87,676.03,19.98,11x25x39,DarkOliveGreen,Wood,322,68,SUPP_037,2024-09-14,4.4,False
PROD_000127,Centralized 6thgeneration artificial intelligence,Electronics,Electronics_Sub_4,King and Sons,182.38,145.79,25.0,29x5x15,SeaGreen,Wood,168,57,SUPP_058,2025-01-15,1.2,False
PROD_000128,Multi-channeled secondary neural-net,Home & Garden,Home & Garden_Sub_2,Peterson-Moon,660.59,438.92,31.07,26x48x43,MediumSpringGreen,Wood,367,33,SUPP_029,2025-01-29,4.4,False
PROD_000129,Versatile discrete open system,Books,Books_Sub_5,Wright and Sons,393.01,242.93,2.4,6x13x43,PowderBlue,Glass,401,33,SUPP_089,2024-10-11,3.5,False
PROD_000130,Seamless fresh-thinking definition,Books,Books_Sub_1,Mcdaniel-Williams,490.52,385.31,47.57,43x13x13,Violet,Plastic,309,21,SUPP_053,2025-06-20,2.9,False
PROD_000131,Ergonomic solution-oriented orchestration,Books,Books_Sub_1,"Moore, Hartman and Anderson",365.59,291.46,12.11,16x30x29,OldLace,Fabric,214,70,SUPP_001,2025-03-26,2.6,False
PROD_000132,Team-oriented eco-centric open architecture,Toys,Toys_Sub_1,Smith LLC,971.46,742.45,6.14,19x42x15,FloralWhite,Fabric,46,48,SUPP_069,2024-10-20,4.1,False
PROD_000133,Synergized multi-tasking conglomeration,Electronics,Electronics_Sub_2,"Warren, Haas and Burns",159.71,107.76,20.96,47x42x8,Turquoise,Plastic,590,40,SUPP_083,2022-11-16,2.0,False
PROD_000134,Digitized bifurcated standardization,Home & Garden,Home & Garden_Sub_4,Thompson-Powell,608.15,406.44,4.33,8x5x8,Olive,Leather,22,33,SUPP_091,2024-03-02,3.3,False
PROD_000135,Decentralized 24/7 definition,Clothing,Clothing_Sub_4,Doyle Inc,154.76,115.76,42.1,29x50x50,Linen,Leather,287,99,SUPP_064,2025-01-25,1.3,True
PROD_000136,Triple-buffered context-sensitive process improvement,Toys,Toys_Sub_5,"Curry, Smith and Lawson",316.01,240.41,36.38,42x44x14,Gray,Metal,0,46,SUPP_100,2024-09-18,2.4,True
PROD_000137,De-engineered local info-mediaries,Home & Garden,Home & Garden_Sub_2,"Davis, Adams and Chung",745.47,496.71,4.23,29x46x45,SandyBrown,Glass,476,78,SUPP_099,2022-12-14,1.3,False
PROD_000138,Seamless uniform moderator,Sports,Sports_Sub_4,Long-Snyder,736.58,544.97,41.91,33x5x12,Fuchsia,Fabric,302,55,SUPP_026,2024-01-18,3.7,False
PROD_000139,Polarized global emulation,Clothing,Clothing_Sub_1,Carey Group,673.38,467.45,48.7,32x31x50,MistyRose,Glass,348,17,SUPP_045,2024-05-20,1.7,False
